"date","currency","rate"
2003-08-31,"JPY",116.46
2003-08-31,"KRW",1178.3
2003-08-31,"LTL",3.1594
2003-08-31,"LVL",0.57646
2003-08-31,"MTL",0.38885
2003-08-31,"NOK",7.5474
2003-08-31,"NZD",1.7403
2003-08-31,"PLN",3.9892
2003-08-31,"ROL",34044
2003-08-31,"SEK",8.447
2003-08-31,"SGD",1.7536
2003-08-31,"SIT",215.16
2003-08-31,"SKK",38.441
2003-08-31,"TRL",99999.99999
2003-08-31,"ZAR",7.3247
2003-08-31,"EUR",0.91516
2003-09-01,"USD",1
2003-09-01,"AUD",1.5487
2003-09-01,"BGN",1.7751
2003-09-01,"CAD",1.3788
2003-09-01,"CHF",1.4017
2003-09-01,"CYP",0.53255
2003-09-01,"CZK",29.601
2003-09-01,"DKK",6.7718
2003-09-01,"EEK",14.27
2003-09-01,"GBP",0.63666
2003-09-01,"HKD",7.7992
2003-09-01,"HUF",234.82
2003-09-01,"ISK",80.401
2003-09-01,"JPY",116.35
2003-09-01,"KRW",1175.5
2003-09-01,"LTL",3.1487
2003-09-01,"LVL",0.57601
2003-09-01,"MTL",0.38824
2003-09-01,"NOK",7.5011
2003-09-01,"NZD",1.7342
2003-09-01,"PLN",3.9753
2003-09-01,"ROL",34019
2003-09-01,"SEK",8.3642
2003-09-01,"SGD",1.7525
2003-09-01,"SIT",214.36
2003-09-01,"SKK",38.308
2003-09-01,"TRL",99999.99999
2003-09-01,"ZAR",7.3505
2003-09-01,"EUR",0.91199
2003-09-02,"USD",1
2003-09-02,"AUD",1.5596
2003-09-02,"BGN",1.7945
2003-09-02,"CAD",1.3893
2003-09-02,"CHF",1.4157
2003-09-02,"CYP",0.53768
2003-09-02,"CZK",29.89
2003-09-02,"DKK",6.8449
2003-09-02,"EEK",14.423
2003-09-02,"GBP",0.63794
2003-09-02,"HKD",7.7994
2003-09-02,"HUF",237.42
2003-09-02,"ISK",81.74
2003-09-02,"JPY",117.01
2003-09-02,"KRW",1177.4
2003-09-02,"LTL",3.1827
2003-09-02,"LVL",0.57858
2003-09-02,"MTL",0.39137
2003-09-02,"NOK",7.5813
2003-09-02,"NZD",1.7526
2003-09-02,"PLN",4.0151
2003-09-02,"ROL",34379
2003-09-02,"SEK",8.4625
2003-09-02,"SGD",1.7585
2003-09-02,"SIT",216.65
2003-09-02,"SKK",38.69
2003-09-02,"TRL",99999.99999
2003-09-02,"ZAR",7.3446
2003-09-02,"EUR",0.92174
2003-09-03,"USD",1
2003-09-03,"AUD",1.5708
2003-09-03,"BGN",1.8055
2003-09-03,"CAD",1.3958
2003-09-03,"CHF",1.4206
2003-09-03,"CYP",0.54078
2003-09-03,"CZK",30.038
2003-09-03,"DKK",6.8865
2003-09-03,"EEK",14.511
2003-09-03,"GBP",0.6399
2003-09-03,"HKD",7.7986
2003-09-03,"HUF",238.23
2003-09-03,"ISK",81.999
2003-09-03,"JPY",116.29
2003-09-03,"KRW",1174
2003-09-03,"LTL",3.2025
2003-09-03,"LVL",0.57962
2003-09-03,"MTL",0.3933
2003-09-03,"NOK",7.637
2003-09-03,"NZD",1.7694
2003-09-03,"PLN",4.0311
2003-09-03,"ROL",34576
2003-09-03,"SEK",8.4847
2003-09-03,"SGD",1.7583
2003-09-03,"SIT",217.97
2003-09-03,"SKK",38.89
2003-09-03,"TRL",99999.99999
2003-09-03,"ZAR",7.3139
2003-09-03,"EUR",0.92739
2003-09-04,"USD",1
2003-09-04,"AUD",1.5662
2003-09-04,"BGN",1.7995
2003-09-04,"CAD",1.3833
2003-09-04,"CHF",1.4216
2003-09-04,"CYP",0.53884
2003-09-04,"CZK",29.978
